"Dataset","Number of entries","Min. Support","Min. Confidence","Min. TimeDiff","Number of Rules Generated","TransactionalToSequenceTime","TotalRunningTime","Result File"
"OnlineRetail 10P.csv","33785","0.15","0.3","30","0","1030","38825","GSPResultsSat Jun 01 15:32:25 CEST 2024.txt"
"OnlineRetail 10P.csv","33785","0.15","0.3","30","0","938","27096","GSPResultsSat Jun 01 15:33:57 CEST 2024.txt"
"OnlineRetail 10P.csv","33785","0.15","0.3","30","0","1120","25608","GSPResultsSat Jun 01 15:34:33 CEST 2024.txt"
"OnlineRetail 10P.csv","33785","0.15","0.3","30","0","1208","29367","GSPResultsSat Jun 01 15:35:06 CEST 2024.txt"
"OnlineRetail 10P.csv","33785","0.15","0.3","30","0","1032","25840","GSPResultsSat Jun 01 15:35:42 CEST 2024.txt"
"OnlineRetail 10P.csv","33785","0.15","0.3","30","0","1185","24594","GSPResultsSat Jun 01 15:36:18 CEST 2024.txt"
"OnlineRetail 10P.csv","33785","0.15","0.3","30","0","1131","28945","GSPResultsSat Jun 01 15:36:49 CEST 2024.txt"
"OnlineRetail 10P.csv","33785","0.15","0.3","30","0","1172","26095","GSPResultsSat Jun 01 15:37:29 CEST 2024.txt"
"OnlineRetail 10P.csv","33785","0.15","0.3","30","0","973","36806","GSPResultsSat Jun 01 15:38:01 CEST 2024.txt"
"OnlineRetail 10P.csv","33785","0.15","0.3","30","0","966","24118","GSPResultsSat Jun 01 15:38:46 CEST 2024.txt"
"OnlineRetail 50.csv","191777","0.15","0.3","30","7","20774","72570","GSPResultsSat Jun 01 15:41:57 CEST 2024.txt"
"OnlineRetail 50.csv","191777","0.15","0.3","30","7","20659","65428","GSPResultsSat Jun 01 15:43:31 CEST 2024.txt"
"OnlineRetail 50.csv","191777","0.15","0.3","30","7","20468","69553","GSPResultsSat Jun 01 15:44:43 CEST 2024.txt"
"OnlineRetail 50.csv","191777","0.15","0.3","30","7","20508","70311","GSPResultsSat Jun 01 15:45:58 CEST 2024.txt"
"OnlineRetail 50.csv","191777","0.15","0.3","30","7","20629","72095","GSPResultsSat Jun 01 15:47:16 CEST 2024.txt"
"OnlineRetail 50.csv","191777","0.15","0.3","30","7","20431","65231","GSPResultsSat Jun 01 15:48:35 CEST 2024.txt"
"OnlineRetail 50.csv","191777","0.15","0.3","30","7","20651","69267","GSPResultsSat Jun 01 15:49:45 CEST 2024.txt"
"OnlineRetail 50.csv","191777","0.15","0.3","30","7","20853","55386","GSPResultsSat Jun 01 15:51:00 CEST 2024.txt"
"OnlineRetail 50.csv","191777","0.15","0.3","30","7","20544","68962","GSPResultsSat Jun 01 15:52:04 CEST 2024.txt"
"OnlineRetail 50.csv","191777","0.15","0.3","30","7","20539","71625","GSPResultsSat Jun 01 15:53:19 CEST 2024.txt"
"OnlineRetail.csv","403722","0.15","0.3","30","38","56241","150531","GSPResultsSat Jun 01 15:55:14 CEST 2024.txt"
"OnlineRetail.csv","403722","0.15","0.3","30","38","55481","164500","GSPResultsSat Jun 01 15:57:59 CEST 2024.txt"
"OnlineRetail.csv","403722","0.15","0.3","30","38","55313","150080","GSPResultsSat Jun 01 16:00:51 CEST 2024.txt"
"OnlineRetail.csv","403722","0.15","0.3","30","38","56151","150596","GSPResultsSat Jun 01 16:04:14 CEST 2024.txt"
"OnlineRetail.csv","403722","0.15","0.3","30","38","55514","143779","GSPResultsSat Jun 01 16:07:00 CEST 2024.txt"
"OnlineRetail.csv","403722","0.15","0.3","30","38","55677","146872","GSPResultsSat Jun 01 16:09:57 CEST 2024.txt"
"OnlineRetail.csv","403722","0.15","0.3","30","38","55955","145177","GSPResultsSat Jun 01 16:13:17 CEST 2024.txt"
"OnlineRetail.csv","403722","0.15","0.3","30","38","56240","160664","GSPResultsSat Jun 01 16:16:04 CEST 2024.txt"
"OnlineRetail.csv","403722","0.15","0.3","30","38","55912","146383","GSPResultsSat Jun 01 16:19:09 CEST 2024.txt"
"OnlineRetail.csv","403722","0.15","0.3","30","38","55505","149064","GSPResultsSat Jun 01 16:22:15 CEST 2024.txt"
"OnlineRetail.csv","403722","0.2","0.4","30","0","55897","141496","GSPResultsSat Jun 01 16:26:05 CEST 2024.txt"
"OnlineRetail.csv","403722","0.2","0.4","30","0","56037","133858","GSPResultsSat Jun 01 16:28:49 CEST 2024.txt"
